index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,Categoria_Visual
1480,36676863631322,S,BLOOMINGTON HIGH,COLTON JOINT UNIFIED,SAN BERNARDINO,490,207,459.9238587420143,450.98544046350736,433.51722817567406,57.0,27.54,1415,0.1983053148289714,30,42.244897959183675,1344.4265273811957,Bajo Rendimiento / Riesgo,16.333333333333332,0,0,
1481,36676863632742,S,COLTON HIGH,COLTON JOINT UNIFIED,SAN BERNARDINO,439,128,416.2093926405237,433.4685889076021,448.9374807899618,30.0,23.44,1415,0.8085491643521755,15,29.157175398633257,1298.6154623380876,Bajo Rendimiento / Riesgo,29.266666666666666,0,1,
1482,36677100000000,D,,FONTANA UNIFIED,SAN BERNARDINO,3295,1406,449.8210903757532,424.7326560761649,411.70186277021634,259.0,18.42,1415,0.5121780176683725,0,42.670713201820945,1286.2556092221346,Bajo Rendimiento / Riesgo,20.656383422821012,0,0,Distritos
1483,36677100108191,S,SUMMIT HIGH,FONTANA UNIFIED,SAN BERNARDINO,607,332,440.5288459363184,466.2435484405889,434.6672519962444,77.0,23.19,1415,0.5048443065732842,40,54.69522240527183,1341.4396463731516,Bajo Rendimiento / Riesgo,15.175,0,0,
1484,36677100120758,S,JURUPA HILLS HIGH,FONTANA UNIFIED,SAN BERNARDINO,428,203,410.7595229615133,421.8017735636888,415.2888411182287,30.0,14.78,1415,0.43658845027191284,28,47.429906542056074,1247.8501376434308,Bajo Rendimiento / Riesgo,15.285714285714286,0,0,
1485,36677103630555,S,FONTANA A. B. MILLER HIGH,FONTANA UNIFIED,SAN BERNARDINO,550,185,427.9555064371757,440.0931791095696,432.133026837664,33.0,17.84,1415,0.7176150067055429,23,33.63636363636363,1300.1817123844091,Bajo Rendimiento / Riesgo,23.91304347826087,0,1,
1486,36677103630902,S,HENRY J. KAISER HIGH,FONTANA UNIFIED,SAN BERNARDINO,602,382,442.4393239779589,423.9980902633413,406.4910733844928,70.0,18.32,1415,0.7350781495373612,33,63.45514950166113,1272.928487625793,Bajo Rendimiento / Riesgo,18.242424242424242,0,1,
1487,36677103633302,S,FONTANA HIGH,FONTANA UNIFIED,SAN BERNARDINO,605,304,415.0364962625683,452.4998450602084,428.48463137220745,49.0,16.12,1415,0.3825337231809232,31,50.247933884297524,1296.0209726949843,Bajo Rendimiento / Riesgo,19.516129032258064,0,0,
1488,36677360000000,D,,HELENDALE ELEMENTARY,SAN BERNARDINO,268,25,503.4634801312396,496.1640266596995,480.4682922240036,13.0,52.0,1415,0.6005065399337429,0,9.328358208955224,1480.0957990149427,Rendimiento Medio,25.333333333333332,0,1,Distritos
1489,36677360116723,S,ACADEMY OF CAREERS AND EXPLORATION,HELENDALE ELEMENTARY,SAN BERNARDINO,38,22,511.25596700237753,474.2627853267217,487.80547401439696,12.0,54.55,1415,0.6355326402316567,2,57.89473684210527,1473.3242263434963,Rendimiento Medio,19.0,0,1,
1492,36677770000000,D,,MORONGO UNIFIED,SAN BERNARDINO,787,166,453.3414787384654,495.4627887943879,473.6223486014073,61.0,36.75,1415,0.4607178960206473,0,21.092757306226176,1422.4266161342607,Rendimiento Medio,23.850746965452846,0,0,Distritos
1494,36677773636743,S,TWENTYNINE PALMS HIGH,MORONGO UNIFIED,SAN BERNARDINO,173,69,470.0365189832336,465.94349342152367,468.1971611328038,22.0,31.88,1415,0.7631181584619399,6,39.884393063583815,1404.177173537561,Bajo Rendimiento / Riesgo,28.833333333333332,0,1,
1495,36677773638616,S,YUCCA VALLEY HIGH,MORONGO UNIFIED,SAN BERNARDINO,286,95,465.8341403216397,488.8387128614339,466.27812340811016,38.0,40.0,1415,0.5273661869152061,15,33.21678321678322,1420.9509765911837,Rendimiento Medio,19.066666666666666,0,0,
1496,36678010000000,D,,NEEDLES UNIFIED,SAN BERNARDINO,62,15,435.8261821806649,471.76766681414097,412.6439657806637,4.0,26.67,1415,0.515322855561465,0,24.193548387096776,1320.2378147754696,Bajo Rendimiento / Riesgo,29.0,0,0,Distritos
1497,36678013634169,S,NEEDLES HIGH,NEEDLES UNIFIED,SAN BERNARDINO,58,15,461.6925045529703,470.0367768880628,412.6080375750391,4.0,26.67,1415,0.34773069845900256,2,25.862068965517242,1344.3373190160721,Bajo Rendimiento / Riesgo,29.0,0,0,
1498,36678270000000,D,,ORO GRANDE ELEMENTARY,SAN BERNARDINO,596,115,476.0255897637903,423.6043226424014,453.35772602764126,32.0,27.83,1415,0.5619031225663064,0,19.29530201342282,1352.9876384338331,Bajo Rendimiento / Riesgo,25.355555555555558,0,1,Distritos
1500,36678270113928,S,RIVERSIDE PREPARATORY,ORO GRANDE ELEMENTARY,SAN BERNARDINO,163,113,442.0454976720338,428.4423045854723,435.84261398343006,31.0,27.43,1415,0.17629976327923516,5,69.32515337423312,1306.330416240936,Bajo Rendimiento / Riesgo,32.6,0,0,
1501,36678430000000,D,,REDLANDS UNIFIED,SAN BERNARDINO,1867,863,533.7511301373444,500.8728890295879,502.223296346504,431.0,49.94,1415,0.5144995743363465,0,46.223888591322975,1536.8473155134361,Alto Rendimiento,24.331972486048574,0,0,Distritos
1502,36678430118802,S,CITRUS VALLEY HIGH,REDLANDS UNIFIED,SAN BERNARDINO,534,274,467.1876133050796,522.5250927778172,489.9743337478431,121.0,44.16,1415,0.23950676085569228,26,51.31086142322098,1479.6870398307399,Rendimiento Medio,20.53846153846154,0,0,
1504,36678433630779,S,REDLANDS EAST VALLEY HIGH,REDLANDS UNIFIED,SAN BERNARDINO,481,253,507.816921499148,519.4666901614243,518.3707794096862,126.0,49.8,1415,0.15000814432875628,18,52.5987525987526,1545.6543910702585,Alto Rendimiento,26.72222222222222,0,0,
1505,36678433630928,S,GROVE,REDLANDS UNIFIED,SAN BERNARDINO,33,26,519.4001931377552,517.9098592460601,477.9132665911788,16.0,61.54,1415,0.4415960799376045,1,78.78787878787878,1515.223318974994,Rendimiento Medio,33.0,0,0,
1506,36678433635042,S,REDLANDS SENIOR HIGH,REDLANDS UNIFIED,SAN BERNARDINO,585,308,533.5590162232922,525.5439411205663,517.6068608403408,168.0,54.55,1415,0.5157571267599119,23,52.649572649572654,1576.7098181841993,Alto Rendimiento,25.434782608695652,0,0,
1507,36678500000000,D,,RIALTO UNIFIED,SAN BERNARDINO,2103,758,444.9544826137908,453.93762671894376,421.5227798951837,130.0,17.15,1415,0.5296417581164298,0,36.043747028055165,1320.4148892279181,Bajo Rendimiento / Riesgo,19.559625232730923,0,0,Distritos
1508,36678500102830,S,WILMER AMINA CARTER HIGH,RIALTO UNIFIED,SAN BERNARDINO,578,260,427.8591990311329,444.4361046384667,411.5515971189295,48.0,18.46,1415,0.1882440940006806,27,44.982698961937714,1283.8469007885292,Bajo Rendimiento / Riesgo,21.40740740740741,0,0,
1511,36678503630597,S,RIALTO HIGH,RIALTO UNIFIED,SAN BERNARDINO,661,304,423.8500292005229,420.90739799459766,399.22518929866027,51.0,16.78,1415,0.3629391037453966,38,45.99092284417549,1243.9826164937808,Bajo Rendimiento / Riesgo,17.394736842105264,0,0,
1512,36678503633005,S,EISENHOWER SENIOR HIGH,RIALTO UNIFIED,SAN BERNARDINO,554,192,403.9570602816755,420.2777208615326,424.8030759584673,31.0,16.15,1415,0.3627597585785191,18,34.65703971119133,1249.0378571016754,Bajo Rendimiento / Riesgo,30.77777777777778,0,0,
1513,36678680000000,D,,RIM OF THE WORLD UNIFIED,SAN BERNARDINO,273,84,516.1841901698467,488.4645483792298,491.9087703097424,42.0,50.0,1415,0.43433637938847713,0,30.76923076923077,1496.557508858819,Rendimiento Medio,24.111111111111114,0,0,Distritos
1514,36678683635265,S,RIM OF THE WORLD SENIOR HIGH,RIM OF THE WORLD UNIFIED,SAN BERNARDINO,248,84,497.1078729349217,495.8393495783978,506.4026935774221,42.0,50.0,1415,0.3112916634821449,8,33.87096774193548,1499.3499160907415,Rendimiento Medio,31.0,0,0,
1515,36678760000000,D,,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,3664,1204,418.1532716013041,452.84576355458495,421.5202921667605,225.0,18.69,1415,0.5489428757560056,0,32.86026200873363,1292.5193273226496,Bajo Rendimiento / Riesgo,23.027939071505074,0,0,Distritos
1517,36678760109850,S,PUBLIC SAFETY ACADEMY,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,40,17,422.2409638283884,457.22918131021527,392.9157536587352,1.0,5.88,1415,0.6605413558615975,1,42.5,1272.3858987973388,Bajo Rendimiento / Riesgo,40.0,0,1,
1518,36678760120568,S,OPTIONS FOR YOUTH-SAN BERNARDINO,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,93,22,450.923780180276,460.2863352042978,470.7235901536924,7.0,31.82,1415,0.8267918498594997,3,23.655913978494624,1381.9337055382662,Bajo Rendimiento / Riesgo,31.0,0,1,
1519,36678760125450,S,INDIAN SPRINGS HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,427,208,400.0048942187892,418.059284763806,408.73801864490906,17.0,8.17,1415,0.30700543829953153,22,48.711943793911004,1226.8021976275043,Bajo Rendimiento / Riesgo,19.40909090909091,0,0,
1521,36678763631082,S,ARROYO VALLEY HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,540,195,429.5781596811337,416.1741954706145,421.7624136658901,29.0,14.87,1415,0.6693274288711005,36,36.11111111111111,1267.5147688176382,Bajo Rendimiento / Riesgo,15.0,0,1,
1522,36678763631090,S,MIDDLE COLLEGE HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,56,58,493.67882376618167,504.9925530100471,480.9687442251517,18.0,31.03,1415,0.7438977653633673,3,100.0,1479.6401210013805,Rendimiento Medio,18.666666666666668,0,1,
1523,36678763632221,S,CAJON HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,654,317,471.128894247176,443.9591855400315,462.6786248497795,89.0,28.08,1415,0.4458404379095263,34,48.47094801223242,1377.766704636987,Bajo Rendimiento / Riesgo,19.235294117647058,0,0,
1524,36678763634680,S,PACIFIC HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,299,114,422.0606122111909,427.3992863199081,405.0799906846936,13.0,11.4,1415,0.3620516339483004,14,38.12709030100335,1254.5398892157928,Bajo Rendimiento / Riesgo,21.357142857142858,0,0,
1525,36678763635844,S,SAN BERNARDINO HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,343,133,437.9290632084436,418.3608487021896,396.6271250494773,20.0,15.04,1415,0.37770659381612176,20,38.775510204081634,1252.9170369601106,Bajo Rendimiento / Riesgo,17.15,0,0,
1526,36678763636081,S,SAN GORGONIO HIGH,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,348,138,415.48477988311214,457.9622899502051,422.7390938729823,31.0,22.46,1415,0.6488349331689589,17,39.6551724137931,1296.1861637062996,Bajo Rendimiento / Riesgo,20.470588235294116,0,1,
1529,36679340000000,D,,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,2447,778,458.2057165903085,446.2971425584973,420.4997539736207,188.0,24.16,1415,0.5625295620286662,0,31.79403351042092,1325.0026131224265,Bajo Rendimiento / Riesgo,23.347338111101855,0,1,Distritos
1530,36679340110064,S,UNIVERSITY PREPARATORY,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,167,159,514.598009981567,475.6536809802723,482.2445192952776,76.0,47.8,1415,0.27712977742962186,6,95.20958083832335,1472.496210257117,Rendimiento Medio,27.833333333333332,0,0,
1531,36679340125419,S,ADELANTO HIGH,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,384,129,391.1137350186491,415.9666048769303,401.1387683579612,18.0,13.95,1415,0.4096587057104356,25,33.59375,1208.2191082535405,Bajo Rendimiento / Riesgo,15.36,0,0,
1532,36679343630670,S,OPTIONS FOR YOUTH-VICTORVILLE CHARTER,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,466,73,444.9608621938193,383.44054542288137,401.0724146395109,8.0,10.96,1415,0.781358137724405,15,15.665236051502147,1229.4738222562116,Bajo Rendimiento / Riesgo,31.066666666666666,0,1,
1533,36679343630761,S,EXCELSIOR CHARTER,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,341,74,502.5362000635333,484.5325158931441,455.2625957725873,34.0,45.95,1415,0.7146854637863175,14,21.700879765395893,1442.3313117292646,Rendimiento Medio,24.357142857142858,0,1,
1534,36679343630787,S,SILVERADO HIGH,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,516,160,419.3944276352367,410.3304242015435,401.9551619635392,23.0,14.38,1415,0.8394008819337331,25,31.007751937984494,1231.6800138003193,Bajo Rendimiento / Riesgo,20.64,0,1,
1535,36679343638012,S,VICTOR VALLEY HIGH,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,450,164,424.9878286498341,441.2212478530965,412.08302225598914,22.0,13.41,1415,0.6779737817774565,16,36.44444444444444,1278.2920987589198,Bajo Rendimiento / Riesgo,28.125,0,1,
1536,36679346114698,S,COBALT INSTITUTE OF MATH AND SCIENCE ACADEMY,VICTOR VALLEY UNION HIGH,SAN BERNARDINO,18,19,473.23710251739305,474.0911143853856,470.28203176408186,7.0,36.84,1415,0.4252366407195456,0,100.0,1417.6102486668606,Rendimiento Medio,,0,0,
1537,36679590000000,D,,YUCAIPA-CALIMESA JOINT UNIFIED,SAN BERNARDINO,714,251,460.5081531440676,499.8344632932789,484.1071578416109,103.0,41.04,1415,0.4209272279656502,0,35.154061624649856,1444.4497742789574,Rendimiento Medio,28.611904761904764,0,0,Distritos
1539,36679593638509,S,YUCAIPA HIGH,YUCAIPA-CALIMESA JOINT UNIFIED,SAN BERNARDINO,591,250,480.2501097135336,486.6073576263311,486.1494742335136,102.0,40.8,1415,0.6127099779731242,21,42.30118443316413,1453.0069415733783,Rendimiento Medio,28.142857142857142,0,1,
1542,36738900000000,D,,SILVER VALLEY UNIFIED,SAN BERNARDINO,86,30,495.6150384310537,505.16935614695547,467.31301773556686,11.0,36.67,1415,0.40584506161091133,0,34.883720930232556,1468.0974123135761,Rendimiento Medio,20.47222222222222,0,0,Distritos
1543,36738903630274,S,SILVER VALLEY HIGH,SILVER VALLEY UNIFIED,SAN BERNARDINO,67,29,488.7548661679812,509.329025205275,459.2390745067616,11.0,37.93,1415,0.5311478713727056,4,43.28358208955223,1457.3229658800178,Rendimiento Medio,16.75,0,0,
1545,36739570000000,D,,SNOWLINE JOINT UNIFIED,SAN BERNARDINO,643,202,502.8258947979714,526.5919655818064,487.6292912497296,95.0,47.03,1415,0.49649353400402507,0,31.41524105754277,1517.0471516295074,Rendimiento Medio,27.445012787723783,0,0,Distritos
1546,36739573630233,S,SERRANO HIGH,SNOWLINE JOINT UNIFIED,SAN BERNARDINO,511,200,489.26272599898255,514.5307109185268,496.3685916885895,95.0,47.5,1415,0.26712491280074224,17,39.138943248532286,1500.1620286060988,Rendimiento Medio,30.058823529411764,0,0,
1549,36750440000000,D,,HESPERIA UNIFIED,SAN BERNARDINO,2105,672,433.59201953961065,475.9644109671119,435.06425202408167,171.0,25.45,1415,0.49863387242797835,0,31.923990498812348,1344.6206825308043,Bajo Rendimiento / Riesgo,24.23431751526717,0,0,Distritos
1552,36750440116707,S,ENCORE JR./SR. HIGH SCHOOL FOR THE PERFORMING AND,HESPERIA UNIFIED,SAN BERNARDINO,119,47,480.7971240337745,435.5990727633168,467.6351849978281,13.0,27.66,1415,0.33572829628882683,5,39.49579831932773,1384.0313817949195,Bajo Rendimiento / Riesgo,23.8,0,0,
1553,36750440119115,S,OAK HILLS HIGH,HESPERIA UNIFIED,SAN BERNARDINO,578,273,467.35915782020646,442.335068894668,426.5813003418593,63.0,23.08,1415,0.5710877155098768,24,47.2318339100346,1336.2755270567338,Bajo Rendimiento / Riesgo,24.083333333333332,0,1,
1554,36750443630407,S,HESPERIA HIGH,HESPERIA UNIFIED,SAN BERNARDINO,467,163,445.2317757937823,445.1867902114213,460.4217301353251,37.0,22.7,1415,0.3575919385441515,21,34.90364025695932,1350.8402961405286,Bajo Rendimiento / Riesgo,22.238095238095237,0,0,
1555,36750443630746,S,SULTANA HIGH,HESPERIA UNIFIED,SAN BERNARDINO,452,174,469.1540400858506,490.413252939682,440.1273925408914,57.0,32.76,1415,0.6500969148498695,20,38.49557522123894,1399.6946855664241,Bajo Rendimiento / Riesgo,22.6,0,1,
1557,36750510000000,D,,LUCERNE VALLEY UNIFIED,SAN BERNARDINO,79,26,447.4959865412455,472.47580991149664,456.1153744815528,3.0,11.54,1415,0.40893242947332925,0,32.91139240506329,1376.087170934295,Bajo Rendimiento / Riesgo,24.444444444444443,0,0,Distritos
1559,36750513630563,S,LUCERNE VALLEY HIGH,LUCERNE VALLEY UNIFIED,SAN BERNARDINO,55,18,443.38039234194446,458.8467155654846,434.33874081388217,2.0,11.11,1415,0.5096981249447374,3,32.72727272727273,1336.5658487213113,Bajo Rendimiento / Riesgo,18.333333333333332,0,0,
1560,36750690000000,D,,UPLAND UNIFIED,SAN BERNARDINO,919,449,482.8653895339647,480.6738859046157,470.5964333153529,183.0,40.76,1415,0.43073969952423163,0,48.857453754080524,1434.1357087539332,Rendimiento Medio,29.214814814814815,0,0,Distritos
1561,36750693637584,S,UPLAND HIGH,UPLAND UNIFIED,SAN BERNARDINO,816,449,508.4771384463576,506.9630342525925,465.5417780895138,183.0,40.76,1415,0.5062233889137391,30,55.024509803921575,1480.981950788464,Rendimiento Medio,27.2,0,0,
1562,36750770000000,D,,APPLE VALLEY UNIFIED,SAN BERNARDINO,1015,307,496.447297660567,469.8349223122007,460.8048953915434,139.0,45.28,1415,0.5829326215634147,0,30.24630541871921,1427.087115364311,Rendimiento Medio,26.83276291609625,0,1,Distritos
1563,36750773630423,S,APPLE VALLEY HIGH,APPLE VALLEY UNIFIED,SAN BERNARDINO,526,163,501.0692788307293,476.4243885417425,482.86935334417296,68.0,41.72,1415,0.4084965391508787,22,30.988593155893536,1460.3630207166448,Rendimiento Medio,23.90909090909091,0,0,
1564,36750773630894,S,GRANITE HILLS HIGH,APPLE VALLEY UNIFIED,SAN BERNARDINO,373,90,498.6890594780289,459.5067878280426,469.1618375486955,35.0,38.89,1415,0.8030474037987705,13,24.128686327077748,1427.357684854767,Rendimiento Medio,28.692307692307693,0,1,
1566,36750773631207,S,ACADEMY FOR ACADEMIC EXCELLENCE,APPLE VALLEY UNIFIED,SAN BERNARDINO,77,54,511.5147823567906,500.20364112966166,522.5533499137086,36.0,66.67,1415,0.6380465673367457,2,70.12987012987013,1534.2717734001608,Rendimiento Medio,38.5,0,1,
1567,37000000000000,C,,,SAN DIEGO,43146,18078,483.2095936823458,495.9980817453396,491.1609645318134,8921.0,49.35,1415,0.0,0,41.899596718119874,1470.368639959499,Rendimiento Medio,,0,0,
1568,37103710000000,D,,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO,818,61,489.7049783944897,485.9864629054006,467.3070959311104,25.0,40.98,1415,0.7039978995243982,0,7.45721271393643,1442.9985372310007,Rendimiento Medio,28.861111111111114,0,1,Distritos
1569,37103710115998,S,SAN PASQUAL ACADEMY,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO,31,16,386.0746103707773,366.3396784735968,425.9433160526,2.0,12.5,1415,0.6500286450144983,1,51.61290322580645,1178.3576048969742,Bajo Rendimiento / Riesgo,31.0,0,1,
1571,37103716119119,S,LITERACY FIRST CHARTER,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO,74,36,524.5192512378318,514.3917032327636,537.7454398937191,22.0,61.11,1415,0.7946961647676031,4,48.64864864864865,1576.6563943643143,Alto Rendimiento,18.5,0,1,
1572,37679830000000,D,,BORREGO SPRINGS UNIFIED,SAN DIEGO,253,22,426.4995774572242,427.23053305086336,390.6753922920514,3.0,13.64,1415,0.5334436058881762,0,8.695652173913043,1244.405502800139,Bajo Rendimiento / Riesgo,35.0,0,0,Distritos
1575,37679833730447,S,BORREGO SPRINGS HIGH,BORREGO SPRINGS UNIFIED,SAN DIEGO,35,20,414.8029349974082,418.8408870169092,381.46456404817445,2.0,10.0,1415,0.7531836326511416,1,57.14285714285714,1215.108386062492,Bajo Rendimiento / Riesgo,35.0,0,1,
1576,37680230000000,D,,CHULA VISTA ELEMENTARY,SAN DIEGO,48,40,443.8625925287096,457.3657209392336,416.1866712346809,8.0,20.0,1415,0.3878511302843555,0,83.33333333333334,1317.4149847026242,Bajo Rendimiento / Riesgo,32.0,0,0,Distritos
1577,37680236115778,S,CHULA VISTA LEARNING COMMUNITY CHARTER,CHULA VISTA ELEMENTARY,SAN DIEGO,48,40,460.14738488806586,471.9215451487946,422.38175213606775,8.0,20.0,1415,0.3418501125395337,2,83.33333333333334,1354.4506821729283,Bajo Rendimiento / Riesgo,24.0,0,0,
1578,37680310000000,D,,CORONADO UNIFIED,SAN DIEGO,308,231,559.1906262577667,553.6911112025058,519.1597571814108,167.0,72.29,1415,0.6935716193533432,0,75.0,1632.0414946416831,Alto Rendimiento,22.536150983519406,1,1,Distritos
1579,37680313731478,S,CORONADO HIGH,CORONADO UNIFIED,SAN DIEGO,298,229,586.9862078342364,560.6698227755228,545.8905739506315,165.0,72.05,1415,0.7149496327066921,12,76.84563758389261,1693.5466045603907,Alto Rendimiento,24.833333333333332,0,1,
1580,37680490000000,D,,DEHESA ELEMENTARY,SAN DIEGO,798,29,487.15671907129206,463.08095828378447,434.10836145032033,10.0,34.48,1415,0.0,0,3.634085213032581,1384.3460388053968,Bajo Rendimiento / Riesgo,,0,0,Distritos
1585,37681060000000,D,,ESCONDIDO UNION HIGH,SAN DIEGO,2344,938,482.9172706579977,520.881049187256,489.6629045790844,437.0,46.59,1415,0.5163053361879864,0,40.01706484641638,1493.461224424338,Rendimiento Medio,24.32059474593898,0,0,Distritos
1586,37681060111195,S,CLASSICAL ACADEMY HIGH,ESCONDIDO UNION HIGH,SAN DIEGO,225,124,601.3738899699631,573.3236922968036,560.8915852470814,96.0,77.42,1415,0.7495760566235488,8,55.111111111111114,1735.5891675138482,Alto Rendimiento,28.125,0,1,
1587,37681060127241,S,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,ESCONDIDO UNION HIGH,SAN DIEGO,87,67,478.81452526911727,492.7862359691484,438.8786417326998,22.0,32.84,1415,0.6408189031131818,3,77.01149425287356,1410.4794029709656,Rendimiento Medio,29.0,0,1,
1588,37681063730058,S,SAN PASQUAL HIGH,ESCONDIDO UNION HIGH,SAN DIEGO,535,261,505.3416496702142,507.00081788996965,502.6643207990471,132.0,50.57,1415,0.658939733130773,35,48.78504672897196,1515.006788359231,Rendimiento Medio,15.285714285714286,0,1,
1589,37681063731023,S,ESCONDIDO CHARTER HIGH,ESCONDIDO UNION HIGH,SAN DIEGO,225,103,556.590984179733,529.8825822991066,540.9994420447096,67.0,65.05,1415,0.5434509560817997,9,45.77777777777778,1627.4730085235492,Alto Rendimiento,25.0,0,0,
1590,37681063732062,S,ESCONDIDO HIGH,ESCONDIDO UNION HIGH,SAN DIEGO,561,219,476.2186105389866,476.3423338696631,456.6304705977759,82.0,37.44,1415,0.8129634669759633,29,39.037433155080215,1409.1914150064256,Rendimiento Medio,19.344827586206897,0,1,
1591,37681063735313,S,ORANGE GLEN HIGH,ESCONDIDO UNION HIGH,SAN DIEGO,459,164,440.800791856134,434.077044983216,445.4149806628226,38.0,23.17,1415,0.497381127017653,19,35.72984749455338,1320.2928175021725,Bajo Rendimiento / Riesgo,24.157894736842106,0,0,
1592,37681220000000,D,,FALLBROOK UNION HIGH,SAN DIEGO,595,187,495.7798731428204,492.7234537084032,480.027526936398,74.0,39.57,1415,0.3468777246857306,0,31.428571428571427,1468.5308537876217,Rendimiento Medio,24.80454545454545,0,0,Distritos
1594,37681223732179,S,FALLBROOK HIGH,FALLBROOK UNION HIGH,SAN DIEGO,459,177,487.00824146126735,484.566960150067,474.0216439727397,73.0,41.24,1415,0.2641247358521137,15,38.56209150326798,1445.5968455840741,Rendimiento Medio,30.6,0,0,
1595,37681300000000,D,,GROSSMONT UNION HIGH,SAN DIEGO,5662,2087,470.57630617952594,494.6640724082208,491.4542713348697,968.0,46.38,1415,0.5108607347025997,0,36.85976686683151,1456.6946499226165,Rendimiento Medio,23.634731584492066,0,0,Distritos
1597,37681303730066,S,VALHALLA HIGH,GROSSMONT UNION HIGH,SAN DIEGO,545,210,536.0438478559662,538.2452003009789,520.8958038534295,127.0,60.48,1415,0.664110752452914,32,38.53211009174312,1595.1848520103747,Alto Rendimiento,17.03125,0,1,
1598,37681303730702,S,WEST HILLS HIGH,GROSSMONT UNION HIGH,SAN DIEGO,511,230,529.5943380881954,520.6899417211079,495.59367208187166,127.0,55.22,1415,0.41904852696689443,22,45.00978473581213,1545.8779518911751,Alto Rendimiento,23.227272727272727,0,0,
1599,37681303731262,S,STEELE CANYON HIGH,GROSSMONT UNION HIGH,SAN DIEGO,510,305,508.9144874288592,482.125201197916,475.22875038930016,143.0,46.89,1415,0.16763538977146053,26,59.80392156862745,1466.2684390160753,Rendimiento Medio,19.615384615384617,0,0,
1600,37681303731536,S,GROSSMONT MIDDLE COLLEGE HIGH,GROSSMONT UNION HIGH,SAN DIEGO,37,42,549.004541354679,534.3911095662628,506.1820989540932,26.0,61.9,1415,0.7372981294026075,1,100.0,1589.577749875035,Alto Rendimiento,37.0,0,1,
1601,37681303731692,S,EL CAJON VALLEY HIGH,GROSSMONT UNION HIGH,SAN DIEGO,516,85,433.3062687431628,428.6575688946991,422.2652254575296,19.0,22.35,1415,0.15799258841785155,21,16.472868217054263,1284.2290630953914,Bajo Rendimiento / Riesgo,24.571428571428573,0,0,
1602,37681303731809,S,EL CAPITAN HIGH,GROSSMONT UNION HIGH,SAN DIEGO,399,116,518.8070375633948,520.1279896552879,465.4601640841401,53.0,45.69,1415,0.6425898457403356,19,29.07268170426065,1504.395191302823,Rendimiento Medio,21.0,0,1,
1603,37681303732336,S,GRANITE HILLS HIGH,GROSSMONT UNION HIGH,SAN DIEGO,601,222,490.2402322487546,520.0862253734507,494.4718884690302,124.0,55.86,1415,0.82917997680824,20,36.938435940099836,1504.7983460912355,Rendimiento Medio,30.05,0,1,
1604,37681303732625,S,GROSSMONT HIGH,GROSSMONT UNION HIGH,SAN DIEGO,597,188,505.2635920975033,540.0961461055608,516.6769055836718,104.0,55.32,1415,0.45636292970374237,25,31.490787269681743,1562.036643786736,Alto Rendimiento,23.88,0,0,
1605,37681303732732,S,HELIX HIGH,GROSSMONT UNION HIGH,SAN DIEGO,569,337,479.2737291861484,506.8793373119596,493.6866439234932,137.0,40.65,1415,0.3144813834971669,27,59.22671353251317,1479.8397104216012,Rendimiento Medio,21.074074074074073,0,0,
1606,37681303734548,S,MONTE VISTA HIGH,GROSSMONT UNION HIGH,SAN DIEGO,439,118,443.8341699025471,494.7371937905687,438.5114298431498,29.0,24.58,1415,0.6434097070303672,20,26.879271070615037,1377.0827935362656,Bajo Rendimiento / Riesgo,21.95,0,1,
1607,37681303734761,S,MOUNT MIGUEL HIGH,GROSSMONT UNION HIGH,SAN DIEGO,368,117,443.7809038496859,436.6684869473761,443.3099341977693,21.0,17.95,1415,0.7219896994109096,16,31.793478260869566,1323.7593249948313,Bajo Rendimiento / Riesgo,23.0,0,1,
1608,37681303737905,S,SANTANA HIGH,GROSSMONT UNION HIGH,SAN DIEGO,344,117,523.7456722782638,506.9841795575202,517.5521797201459,58.0,49.57,1415,0.5325012212544931,16,34.01162790697674,1548.2820315559297,Alto Rendimiento,21.5,0,0,
